county_name,com_name,year,month,data_class,data_field_display_name,unit,value,number_of_accounts
Fulton,Northville,2020,10,electricity,Total Consumption (T),MWh,520.628,718.0
Fulton,Northville,2020,10,electricity,Business Consumption (SC+O),MWh,157.42,87.0
Fulton,Northville,2020,10,electricity,Small Commercial Consumption (SC),MWh,-999.0,81.0
Fulton,Northville,2020,10,electricity,Small Consumer Consumption (R+SC),MWh,-999.0,712.0
Fulton,Northville,2020,10,electricity,Residential Consumption (R),MWh,363.208,631.0
Fulton,Northville,2020,10,electricity,All Other Consumption (O),MWh,-999.0,6.0
Fulton,Northville,2020,10,electricity,ICAP Capacity Tag (T),MW,1.521,718.0
Fulton,Northville,2020,10,electricity,ICAP Capacity Tag (SC+O),MW,0.337,87.0
Fulton,Northville,2020,10,electricity,ICAP Capacity Tag (R+SC),MW,-999.0,81.0
Fulton,Northville,2020,10,electricity,ICAP Capacity Tag (O),MW,-999.0,712.0
Fulton,Northville,2020,10,electricity,ICAP Capacity Tag (SC),MW,1.184,631.0
Fulton,Northville,2020,10,electricity,ICAP Capacity Tag (R),MW,-999.0,6.0
Fulton,Northville,2020,10,electricity,CCA-Ineligible Customer Count (SC),count,29.0,29.0
Fulton,Northville,2020,10,electricity,CCA-Ineligible Customer Count (R),count,128.0,128.0
Fulton,Northville,2020,9,electricity,Total Consumption (T),MWh,474.731,718.0
Fulton,Northville,2020,9,electricity,Business Consumption (SC+O),MWh,149.314,87.0
Fulton,Northville,2020,9,electricity,Small Commercial Consumption (SC),MWh,-999.0,81.0
Fulton,Northville,2020,9,electricity,Small Consumer Consumption (R+SC),MWh,-999.0,712.0
Fulton,Northville,2020,9,electricity,Residential Consumption (R),MWh,325.417,631.0
Fulton,Northville,2020,9,electricity,All Other Consumption (O),MWh,-999.0,6.0
Fulton,Northville,2020,9,electricity,ICAP Capacity Tag (T),MW,1.521,718.0
Fulton,Northville,2020,9,electricity,ICAP Capacity Tag (SC+O),MW,0.337,87.0
Fulton,Northville,2020,9,electricity,ICAP Capacity Tag (R+SC),MW,-999.0,81.0
Fulton,Northville,2020,9,electricity,ICAP Capacity Tag (O),MW,-999.0,712.0
Fulton,Northville,2020,9,electricity,ICAP Capacity Tag (SC),MW,1.184,631.0
Fulton,Northville,2020,9,electricity,ICAP Capacity Tag (R),MW,-999.0,6.0
Fulton,Northville,2020,9,electricity,CCA-Ineligible Customer Count (SC),count,31.0,31.0
Fulton,Northville,2020,9,electricity,CCA-Ineligible Customer Count (R),count,129.0,129.0
Fulton,Northville,2020,8,electricity,Total Consumption (T),MWh,642.862,717.0
Fulton,Northville,2020,8,electricity,Business Consumption (SC+O),MWh,230.809,88.0
Fulton,Northville,2020,8,electricity,Small Commercial Consumption (SC),MWh,-999.0,81.0
Fulton,Northville,2020,8,electricity,Small Consumer Consumption (R+SC),MWh,-999.0,710.0
Fulton,Northville,2020,8,electricity,Residential Consumption (R),MWh,412.053,629.0
Fulton,Northville,2020,8,electricity,All Other Consumption (O),MWh,-999.0,7.0
Fulton,Northville,2020,8,electricity,ICAP Capacity Tag (T),MW,1.627,717.0
Fulton,Northville,2020,8,electricity,ICAP Capacity Tag (SC+O),MW,0.445,88.0
Fulton,Northville,2020,8,electricity,ICAP Capacity Tag (R+SC),MW,-999.0,81.0
Fulton,Northville,2020,8,electricity,ICAP Capacity Tag (O),MW,-999.0,710.0
Fulton,Northville,2020,8,electricity,ICAP Capacity Tag (SC),MW,1.182,629.0
Fulton,Northville,2020,8,electricity,ICAP Capacity Tag (R),MW,-999.0,7.0
Fulton,Northville,2020,8,electricity,CCA-Ineligible Customer Count (SC),count,31.0,31.0
Fulton,Northville,2020,8,electricity,CCA-Ineligible Customer Count (R),count,131.0,131.0
Fulton,Northville,2020,7,electricity,Total Consumption (T),MWh,743.942,719.0
Fulton,Northville,2020,7,electricity,Business Consumption (SC+O),MWh,249.253,88.0
