county_name,com_name,year,month,data_class,data_field_display_name,unit,value,number_of_accounts
Genesee,Oakfield,2020,10,electricity,Total Consumption (T),MWh,-999.0,769.0
Genesee,Oakfield,2020,10,electricity,Business Consumption (SC+O),MWh,-999.0,68.0
Genesee,Oakfield,2020,10,electricity,Small Commercial Consumption (SC),MWh,114.389,62.0
Genesee,Oakfield,2020,10,electricity,Small Consumer Consumption (R+SC),MWh,463.508,763.0
Genesee,Oakfield,2020,10,electricity,Residential Consumption (R),MWh,349.119,701.0
Genesee,Oakfield,2020,10,electricity,All Other Consumption (O),MWh,-999.0,6.0
Genesee,Oakfield,2020,10,electricity,ICAP Capacity Tag (T),MW,-999.0,769.0
Genesee,Oakfield,2020,10,electricity,ICAP Capacity Tag (SC+O),MW,-999.0,68.0
Genesee,Oakfield,2020,10,electricity,ICAP Capacity Tag (R+SC),MW,0.325,62.0
Genesee,Oakfield,2020,10,electricity,ICAP Capacity Tag (O),MW,1.861,763.0
Genesee,Oakfield,2020,10,electricity,ICAP Capacity Tag (SC),MW,1.536,701.0
Genesee,Oakfield,2020,10,electricity,ICAP Capacity Tag (R),MW,-999.0,6.0
Genesee,Oakfield,2020,10,electricity,CCA-Ineligible Customer Count (SC),count,30.0,30.0
Genesee,Oakfield,2020,10,electricity,CCA-Ineligible Customer Count (R),count,149.0,149.0
Genesee,Oakfield,2020,9,electricity,Total Consumption (T),MWh,-999.0,772.0
Genesee,Oakfield,2020,9,electricity,Business Consumption (SC+O),MWh,-999.0,70.0
Genesee,Oakfield,2020,9,electricity,Small Commercial Consumption (SC),MWh,151.402,64.0
Genesee,Oakfield,2020,9,electricity,Small Consumer Consumption (R+SC),MWh,723.412,766.0
Genesee,Oakfield,2020,9,electricity,Residential Consumption (R),MWh,572.01,702.0
Genesee,Oakfield,2020,9,electricity,All Other Consumption (O),MWh,-999.0,6.0
Genesee,Oakfield,2020,9,electricity,ICAP Capacity Tag (T),MW,-999.0,772.0
Genesee,Oakfield,2020,9,electricity,ICAP Capacity Tag (SC+O),MW,-999.0,70.0
Genesee,Oakfield,2020,9,electricity,ICAP Capacity Tag (R+SC),MW,0.327,64.0
Genesee,Oakfield,2020,9,electricity,ICAP Capacity Tag (O),MW,1.865,766.0
Genesee,Oakfield,2020,9,electricity,ICAP Capacity Tag (SC),MW,1.538,702.0
Genesee,Oakfield,2020,9,electricity,ICAP Capacity Tag (R),MW,-999.0,6.0
Genesee,Oakfield,2020,9,electricity,CCA-Ineligible Customer Count (SC),count,30.0,30.0
Genesee,Oakfield,2020,9,electricity,CCA-Ineligible Customer Count (R),count,154.0,154.0
Genesee,Oakfield,2020,8,electricity,Total Consumption (T),MWh,-999.0,772.0
Genesee,Oakfield,2020,8,electricity,Business Consumption (SC+O),MWh,-999.0,70.0
Genesee,Oakfield,2020,8,electricity,Small Commercial Consumption (SC),MWh,139.608,64.0
Genesee,Oakfield,2020,8,electricity,Small Consumer Consumption (R+SC),MWh,741.238,766.0
Genesee,Oakfield,2020,8,electricity,Residential Consumption (R),MWh,601.63,702.0
Genesee,Oakfield,2020,8,electricity,All Other Consumption (O),MWh,-999.0,6.0
Genesee,Oakfield,2020,8,electricity,ICAP Capacity Tag (T),MW,-999.0,772.0
Genesee,Oakfield,2020,8,electricity,ICAP Capacity Tag (SC+O),MW,-999.0,70.0
Genesee,Oakfield,2020,8,electricity,ICAP Capacity Tag (R+SC),MW,0.327,64.0
Genesee,Oakfield,2020,8,electricity,ICAP Capacity Tag (O),MW,1.865,766.0
Genesee,Oakfield,2020,8,electricity,ICAP Capacity Tag (SC),MW,1.538,702.0
Genesee,Oakfield,2020,8,electricity,ICAP Capacity Tag (R),MW,-999.0,6.0
Genesee,Oakfield,2020,8,electricity,CCA-Ineligible Customer Count (SC),count,30.0,30.0
Genesee,Oakfield,2020,8,electricity,CCA-Ineligible Customer Count (R),count,155.0,155.0
Genesee,Oakfield,2020,7,electricity,Total Consumption (T),MWh,-999.0,770.0
Genesee,Oakfield,2020,7,electricity,Business Consumption (SC+O),MWh,-999.0,68.0
Genesee,Oakfield,2020,7,electricity,Small Commercial Consumption (SC),MWh,152.665,62.0
Genesee,Oakfield,2020,7,electricity,Small Consumer Consumption (R+SC),MWh,795.608,764.0
Genesee,Oakfield,2020,7,electricity,Residential Consumption (R),MWh,642.943,702.0
Genesee,Oakfield,2020,7,electricity,All Other Consumption (O),MWh,-999.0,6.0
Genesee,Oakfield,2020,7,electricity,ICAP Capacity Tag (T),MW,-999.0,770.0
