county_name,com_name,year,month,data_class,data_field_display_name,unit,value,number_of_accounts
Hamilton,Speculator,2020,10,electricity,Total Consumption (T),MWh,314.164,501.0
Hamilton,Speculator,2020,10,electricity,Business Consumption (SC+O),MWh,164.915,91.0
Hamilton,Speculator,2020,10,electricity,Small Commercial Consumption (SC),MWh,-999.0,85.0
Hamilton,Speculator,2020,10,electricity,Small Consumer Consumption (R+SC),MWh,-999.0,495.0
Hamilton,Speculator,2020,10,electricity,Residential Consumption (R),MWh,149.249,410.0
Hamilton,Speculator,2020,10,electricity,All Other Consumption (O),MWh,-999.0,6.0
Hamilton,Speculator,2020,10,electricity,ICAP Capacity Tag (T),MW,1.24,501.0
Hamilton,Speculator,2020,10,electricity,ICAP Capacity Tag (SC+O),MW,0.618,91.0
Hamilton,Speculator,2020,10,electricity,ICAP Capacity Tag (R+SC),MW,-999.0,85.0
Hamilton,Speculator,2020,10,electricity,ICAP Capacity Tag (O),MW,-999.0,495.0
Hamilton,Speculator,2020,10,electricity,ICAP Capacity Tag (SC),MW,0.623,410.0
Hamilton,Speculator,2020,10,electricity,ICAP Capacity Tag (R),MW,-999.0,6.0
Hamilton,Speculator,2020,10,electricity,CCA-Ineligible Customer Count (SC),count,43.0,43.0
Hamilton,Speculator,2020,10,electricity,CCA-Ineligible Customer Count (R),count,84.0,84.0
Hamilton,Speculator,2020,9,electricity,Total Consumption (T),MWh,419.85,502.0
Hamilton,Speculator,2020,9,electricity,Business Consumption (SC+O),MWh,224.303,90.0
Hamilton,Speculator,2020,9,electricity,Small Commercial Consumption (SC),MWh,-999.0,84.0
Hamilton,Speculator,2020,9,electricity,Small Consumer Consumption (R+SC),MWh,-999.0,496.0
Hamilton,Speculator,2020,9,electricity,Residential Consumption (R),MWh,195.547,412.0
Hamilton,Speculator,2020,9,electricity,All Other Consumption (O),MWh,-999.0,6.0
Hamilton,Speculator,2020,9,electricity,ICAP Capacity Tag (T),MW,1.241,502.0
Hamilton,Speculator,2020,9,electricity,ICAP Capacity Tag (SC+O),MW,0.618,90.0
Hamilton,Speculator,2020,9,electricity,ICAP Capacity Tag (R+SC),MW,-999.0,84.0
Hamilton,Speculator,2020,9,electricity,ICAP Capacity Tag (O),MW,-999.0,496.0
Hamilton,Speculator,2020,9,electricity,ICAP Capacity Tag (SC),MW,0.624,412.0
Hamilton,Speculator,2020,9,electricity,ICAP Capacity Tag (R),MW,-999.0,6.0
Hamilton,Speculator,2020,9,electricity,CCA-Ineligible Customer Count (SC),count,43.0,43.0
Hamilton,Speculator,2020,9,electricity,CCA-Ineligible Customer Count (R),count,84.0,84.0
Hamilton,Speculator,2020,8,electricity,Total Consumption (T),MWh,448.269,503.0
Hamilton,Speculator,2020,8,electricity,Business Consumption (SC+O),MWh,238.539,91.0
Hamilton,Speculator,2020,8,electricity,Small Commercial Consumption (SC),MWh,-999.0,85.0
Hamilton,Speculator,2020,8,electricity,Small Consumer Consumption (R+SC),MWh,-999.0,497.0
Hamilton,Speculator,2020,8,electricity,Residential Consumption (R),MWh,209.73,412.0
Hamilton,Speculator,2020,8,electricity,All Other Consumption (O),MWh,-999.0,6.0
Hamilton,Speculator,2020,8,electricity,ICAP Capacity Tag (T),MW,1.243,503.0
Hamilton,Speculator,2020,8,electricity,ICAP Capacity Tag (SC+O),MW,0.619,91.0
Hamilton,Speculator,2020,8,electricity,ICAP Capacity Tag (R+SC),MW,-999.0,85.0
Hamilton,Speculator,2020,8,electricity,ICAP Capacity Tag (O),MW,-999.0,497.0
Hamilton,Speculator,2020,8,electricity,ICAP Capacity Tag (SC),MW,0.624,412.0
Hamilton,Speculator,2020,8,electricity,ICAP Capacity Tag (R),MW,-999.0,6.0
Hamilton,Speculator,2020,8,electricity,CCA-Ineligible Customer Count (SC),count,43.0,43.0
Hamilton,Speculator,2020,8,electricity,CCA-Ineligible Customer Count (R),count,85.0,85.0
Hamilton,Speculator,2020,7,electricity,Total Consumption (T),MWh,487.497,502.0
Hamilton,Speculator,2020,7,electricity,Business Consumption (SC+O),MWh,259.868,91.0
Hamilton,Speculator,2020,7,electricity,Small Commercial Consumption (SC),MWh,-999.0,85.0
Hamilton,Speculator,2020,7,electricity,Small Consumer Consumption (R+SC),MWh,-999.0,496.0
Hamilton,Speculator,2020,7,electricity,Residential Consumption (R),MWh,227.629,411.0
Hamilton,Speculator,2020,7,electricity,All Other Consumption (O),MWh,-999.0,6.0
Hamilton,Speculator,2020,7,electricity,ICAP Capacity Tag (T),MW,1.243,502.0
