county_name,com_name,year,month,data_class,data_field_display_name,unit,value,number_of_accounts
Herkimer,West Winfield,2020,10,electricity,CCA-Ineligible Customer Count (SC),count,15.0,15.0
Herkimer,West Winfield,2020,10,electricity,CCA-Ineligible Customer Count (R),count,56.0,56.0
Herkimer,West Winfield,2020,10,electricity,ICAP Capacity Tag (T),MW,749.3,0.0
Herkimer,West Winfield,2020,10,electricity,ICAP Capacity Tag (SC+O),MW,27.0,0.0
Herkimer,West Winfield,2020,10,electricity,ICAP Capacity Tag (R+SC),MW,749.3,0.0
Herkimer,West Winfield,2020,10,electricity,ICAP Capacity Tag (O),MW,0.0,0.0
Herkimer,West Winfield,2020,10,electricity,ICAP Capacity Tag (SC),MW,27.0,0.0
Herkimer,West Winfield,2020,10,electricity,ICAP Capacity Tag (R),MW,722.4,0.0
Herkimer,West Winfield,2020,10,electricity,Total Consumption (T),MWh,344.466,439.0
Herkimer,West Winfield,2020,10,electricity,Business Consumption (SC+O),MWh,111.452,124.0
Herkimer,West Winfield,2020,10,electricity,Small Consumer Consumption (R+SC),MWh,249.505,363.0
Herkimer,West Winfield,2020,10,electricity,All Other Consumption (O),MWh,94.961,76.0
Herkimer,West Winfield,2020,10,electricity,Small Commercial Consumption (SC),MWh,16.491,48.0
Herkimer,West Winfield,2020,10,electricity,Residential Consumption (R),MWh,233.014,315.0
Herkimer,West Winfield,2020,9,electricity,CCA-Ineligible Customer Count (SC),count,14.0,14.0
Herkimer,West Winfield,2020,9,electricity,CCA-Ineligible Customer Count (R),count,54.0,54.0
Herkimer,West Winfield,2020,9,electricity,ICAP Capacity Tag (T),MW,604.2,0.0
Herkimer,West Winfield,2020,9,electricity,ICAP Capacity Tag (SC+O),MW,21.6,0.0
Herkimer,West Winfield,2020,9,electricity,ICAP Capacity Tag (R+SC),MW,604.2,0.0
Herkimer,West Winfield,2020,9,electricity,ICAP Capacity Tag (O),MW,0.0,0.0
Herkimer,West Winfield,2020,9,electricity,ICAP Capacity Tag (SC),MW,21.6,0.0
Herkimer,West Winfield,2020,9,electricity,ICAP Capacity Tag (R),MW,582.6,0.0
Herkimer,West Winfield,2020,9,electricity,Total Consumption (T),MWh,321.257,416.0
Herkimer,West Winfield,2020,9,electricity,Business Consumption (SC+O),MWh,-999.0,107.0
Herkimer,West Winfield,2020,9,electricity,Small Consumer Consumption (R+SC),MWh,-999.0,356.0
Herkimer,West Winfield,2020,9,electricity,All Other Consumption (O),MWh,-999.0,60.0
Herkimer,West Winfield,2020,9,electricity,Small Commercial Consumption (SC),MWh,13.409,47.0
Herkimer,West Winfield,2020,9,electricity,Residential Consumption (R),MWh,-999.0,309.0
Herkimer,West Winfield,2020,8,electricity,CCA-Ineligible Customer Count (SC),count,14.0,14.0
Herkimer,West Winfield,2020,8,electricity,CCA-Ineligible Customer Count (R),count,55.0,55.0
Herkimer,West Winfield,2020,8,electricity,ICAP Capacity Tag (T),MW,695.3,0.0
Herkimer,West Winfield,2020,8,electricity,ICAP Capacity Tag (SC+O),MW,25.5,0.0
Herkimer,West Winfield,2020,8,electricity,ICAP Capacity Tag (R+SC),MW,695.3,0.0
Herkimer,West Winfield,2020,8,electricity,ICAP Capacity Tag (O),MW,0.0,0.0
Herkimer,West Winfield,2020,8,electricity,ICAP Capacity Tag (SC),MW,25.5,0.0
Herkimer,West Winfield,2020,8,electricity,ICAP Capacity Tag (R),MW,669.9,0.0
Herkimer,West Winfield,2020,8,electricity,Total Consumption (T),MWh,506.193,441.0
Herkimer,West Winfield,2020,8,electricity,Business Consumption (SC+O),MWh,224.583,124.0
Herkimer,West Winfield,2020,8,electricity,Small Consumer Consumption (R+SC),MWh,301.595,363.0
Herkimer,West Winfield,2020,8,electricity,All Other Consumption (O),MWh,204.598,78.0
Herkimer,West Winfield,2020,8,electricity,Small Commercial Consumption (SC),MWh,19.985,46.0
Herkimer,West Winfield,2020,8,electricity,Residential Consumption (R),MWh,281.61,317.0
Herkimer,West Winfield,2020,7,electricity,CCA-Ineligible Customer Count (SC),count,13.0,13.0
Herkimer,West Winfield,2020,7,electricity,CCA-Ineligible Customer Count (R),count,54.0,54.0
Herkimer,West Winfield,2020,7,electricity,ICAP Capacity Tag (T),MW,624.1,0.0
Herkimer,West Winfield,2020,7,electricity,ICAP Capacity Tag (SC+O),MW,23.1,0.0
Herkimer,West Winfield,2020,7,electricity,ICAP Capacity Tag (R+SC),MW,624.1,0.0
Herkimer,West Winfield,2020,7,electricity,ICAP Capacity Tag (O),MW,0.0,0.0
Herkimer,West Winfield,2020,7,electricity,ICAP Capacity Tag (SC),MW,23.1,0.0
Herkimer,West Winfield,2020,7,electricity,ICAP Capacity Tag (R),MW,601.0,0.0
Herkimer,West Winfield,2020,7,electricity,Total Consumption (T),MWh,335.097,421.0
Herkimer,West Winfield,2020,7,electricity,Business Consumption (SC+O),MWh,72.741,103.0
Herkimer,West Winfield,2020,7,electricity,Small Consumer Consumption (R+SC),MWh,277.279,363.0
Herkimer,West Winfield,2020,7,electricity,All Other Consumption (O),MWh,57.818,58.0
Herkimer,West Winfield,2020,7,electricity,Small Commercial Consumption (SC),MWh,14.923,45.0
Herkimer,West Winfield,2020,7,electricity,Residential Consumption (R),MWh,262.356,318.0
Herkimer,West Winfield,2020,6,electricity,CCA-Ineligible Customer Count (SC),count,15.0,15.0
Herkimer,West Winfield,2020,6,electricity,CCA-Ineligible Customer Count (R),count,58.0,58.0
Herkimer,West Winfield,2020,6,electricity,ICAP Capacity Tag (T),MW,756.3,0.0
Herkimer,West Winfield,2020,6,electricity,ICAP Capacity Tag (SC+O),MW,37.9,0.0
Herkimer,West Winfield,2020,6,electricity,ICAP Capacity Tag (R+SC),MW,756.3,0.0
Herkimer,West Winfield,2020,6,electricity,ICAP Capacity Tag (O),MW,0.0,0.0
Herkimer,West Winfield,2020,6,electricity,ICAP Capacity Tag (SC),MW,37.9,0.0
Herkimer,West Winfield,2020,6,electricity,ICAP Capacity Tag (R),MW,718.4,0.0
Herkimer,West Winfield,2020,6,electricity,Total Consumption (T),MWh,459.707,451.0
Herkimer,West Winfield,2020,6,electricity,Business Consumption (SC+O),MWh,-999.0,129.0
Herkimer,West Winfield,2020,6,electricity,Small Consumer Consumption (R+SC),MWh,-999.0,370.0
Herkimer,West Winfield,2020,6,electricity,All Other Consumption (O),MWh,-999.0,81.0
Herkimer,West Winfield,2020,6,electricity,Small Commercial Consumption (SC),MWh,14.592,48.0
Herkimer,West Winfield,2020,6,electricity,Residential Consumption (R),MWh,-999.0,322.0
Herkimer,West Winfield,2020,5,electricity,CCA-Ineligible Customer Count (SC),count,12.0,12.0
Herkimer,West Winfield,2020,5,electricity,CCA-Ineligible Customer Count (R),count,53.0,53.0
Herkimer,West Winfield,2020,5,electricity,ICAP Capacity Tag (T),MW,590.4,0.0
Herkimer,West Winfield,2020,5,electricity,ICAP Capacity Tag (SC+O),MW,21.7,0.0
Herkimer,West Winfield,2020,5,electricity,ICAP Capacity Tag (R+SC),MW,590.4,0.0
Herkimer,West Winfield,2020,5,electricity,ICAP Capacity Tag (O),MW,0.0,0.0
Herkimer,West Winfield,2020,5,electricity,ICAP Capacity Tag (SC),MW,21.7,0.0
