county_name,com_name,year,month,data_class,data_field_display_name,unit,value,number_of_accounts
Jefferson,West Carthage,2020,10,natural_gas,Total Consumption (T),Therms,-999.0,641.0
Jefferson,West Carthage,2020,10,natural_gas,Business Consumption (SC+O),Therms,-999.0,56.0
Jefferson,West Carthage,2020,10,natural_gas,Small Commercial Consumption (SC),Therms,9550.0,55.0
Jefferson,West Carthage,2020,10,natural_gas,Small Consumer Consumption (R+SC),Therms,35457.0,640.0
Jefferson,West Carthage,2020,10,natural_gas,Residential Consumption (R),Therms,25907.0,585.0
Jefferson,West Carthage,2020,10,natural_gas,All Other Consumption (O),Therms,-999.0,1.0
Jefferson,West Carthage,2020,10,natural_gas,CCA-Ineligible Customer Count (SC),count,23.0,23.0
Jefferson,West Carthage,2020,10,natural_gas,CCA-Ineligible Customer Count (R),count,112.0,112.0
Jefferson,West Carthage,2020,10,electricity,Total Consumption (T),MWh,-999.0,918.0
Jefferson,West Carthage,2020,10,electricity,Business Consumption (SC+O),MWh,-999.0,80.0
Jefferson,West Carthage,2020,10,electricity,Small Commercial Consumption (SC),MWh,246.554,73.0
Jefferson,West Carthage,2020,10,electricity,Small Consumer Consumption (R+SC),MWh,673.23,911.0
Jefferson,West Carthage,2020,10,electricity,Residential Consumption (R),MWh,426.676,838.0
Jefferson,West Carthage,2020,10,electricity,All Other Consumption (O),MWh,-999.0,7.0
Jefferson,West Carthage,2020,10,electricity,ICAP Capacity Tag (T),MW,-999.0,918.0
Jefferson,West Carthage,2020,10,electricity,ICAP Capacity Tag (SC+O),MW,-999.0,80.0
Jefferson,West Carthage,2020,10,electricity,ICAP Capacity Tag (R+SC),MW,0.612,73.0
Jefferson,West Carthage,2020,10,electricity,ICAP Capacity Tag (O),MW,1.861,911.0
Jefferson,West Carthage,2020,10,electricity,ICAP Capacity Tag (SC),MW,1.249,838.0
Jefferson,West Carthage,2020,10,electricity,ICAP Capacity Tag (R),MW,-999.0,7.0
Jefferson,West Carthage,2020,10,electricity,CCA-Ineligible Customer Count (SC),count,37.0,37.0
Jefferson,West Carthage,2020,10,electricity,CCA-Ineligible Customer Count (R),count,138.0,138.0
Jefferson,West Carthage,2020,9,natural_gas,Total Consumption (T),Therms,-999.0,645.0
Jefferson,West Carthage,2020,9,natural_gas,Business Consumption (SC+O),Therms,-999.0,56.0
Jefferson,West Carthage,2020,9,natural_gas,Small Commercial Consumption (SC),Therms,5717.0,55.0
Jefferson,West Carthage,2020,9,natural_gas,Small Consumer Consumption (R+SC),Therms,18177.0,644.0
Jefferson,West Carthage,2020,9,natural_gas,Residential Consumption (R),Therms,12460.0,589.0
Jefferson,West Carthage,2020,9,natural_gas,All Other Consumption (O),Therms,-999.0,1.0
Jefferson,West Carthage,2020,9,natural_gas,CCA-Ineligible Customer Count (SC),count,23.0,23.0
Jefferson,West Carthage,2020,9,natural_gas,CCA-Ineligible Customer Count (R),count,114.0,114.0
Jefferson,West Carthage,2020,9,electricity,Total Consumption (T),MWh,-999.0,923.0
Jefferson,West Carthage,2020,9,electricity,Business Consumption (SC+O),MWh,-999.0,82.0
Jefferson,West Carthage,2020,9,electricity,Small Commercial Consumption (SC),MWh,247.396,75.0
Jefferson,West Carthage,2020,9,electricity,Small Consumer Consumption (R+SC),MWh,650.598,916.0
Jefferson,West Carthage,2020,9,electricity,Residential Consumption (R),MWh,403.202,841.0
Jefferson,West Carthage,2020,9,electricity,All Other Consumption (O),MWh,-999.0,7.0
Jefferson,West Carthage,2020,9,electricity,ICAP Capacity Tag (T),MW,-999.0,923.0
Jefferson,West Carthage,2020,9,electricity,ICAP Capacity Tag (SC+O),MW,-999.0,82.0
Jefferson,West Carthage,2020,9,electricity,ICAP Capacity Tag (R+SC),MW,0.619,75.0
Jefferson,West Carthage,2020,9,electricity,ICAP Capacity Tag (O),MW,1.871,916.0
Jefferson,West Carthage,2020,9,electricity,ICAP Capacity Tag (SC),MW,1.251,841.0
Jefferson,West Carthage,2020,9,electricity,ICAP Capacity Tag (R),MW,-999.0,7.0
Jefferson,West Carthage,2020,9,electricity,CCA-Ineligible Customer Count (SC),count,37.0,37.0
Jefferson,West Carthage,2020,9,electricity,CCA-Ineligible Customer Count (R),count,137.0,137.0
Jefferson,West Carthage,2020,8,natural_gas,Total Consumption (T),Therms,-999.0,646.0
Jefferson,West Carthage,2020,8,natural_gas,Business Consumption (SC+O),Therms,-999.0,57.0
Jefferson,West Carthage,2020,8,natural_gas,Small Commercial Consumption (SC),Therms,3967.0,56.0
Jefferson,West Carthage,2020,8,natural_gas,Small Consumer Consumption (R+SC),Therms,10199.0,645.0
Jefferson,West Carthage,2020,8,natural_gas,Residential Consumption (R),Therms,6232.0,589.0
Jefferson,West Carthage,2020,8,natural_gas,All Other Consumption (O),Therms,-999.0,1.0
Jefferson,West Carthage,2020,8,natural_gas,CCA-Ineligible Customer Count (SC),count,23.0,23.0
Jefferson,West Carthage,2020,8,natural_gas,CCA-Ineligible Customer Count (R),count,118.0,118.0
Jefferson,West Carthage,2020,8,electricity,Total Consumption (T),MWh,-999.0,925.0
Jefferson,West Carthage,2020,8,electricity,Business Consumption (SC+O),MWh,-999.0,83.0
Jefferson,West Carthage,2020,8,electricity,Small Commercial Consumption (SC),MWh,283.517,76.0
Jefferson,West Carthage,2020,8,electricity,Small Consumer Consumption (R+SC),MWh,802.494,918.0
Jefferson,West Carthage,2020,8,electricity,Residential Consumption (R),MWh,518.977,842.0
Jefferson,West Carthage,2020,8,electricity,All Other Consumption (O),MWh,-999.0,7.0
Jefferson,West Carthage,2020,8,electricity,ICAP Capacity Tag (T),MW,-999.0,925.0
Jefferson,West Carthage,2020,8,electricity,ICAP Capacity Tag (SC+O),MW,-999.0,83.0
Jefferson,West Carthage,2020,8,electricity,ICAP Capacity Tag (R+SC),MW,0.629,76.0
Jefferson,West Carthage,2020,8,electricity,ICAP Capacity Tag (O),MW,1.88,918.0
Jefferson,West Carthage,2020,8,electricity,ICAP Capacity Tag (SC),MW,1.252,842.0
Jefferson,West Carthage,2020,8,electricity,ICAP Capacity Tag (R),MW,-999.0,7.0
Jefferson,West Carthage,2020,8,electricity,CCA-Ineligible Customer Count (SC),count,37.0,37.0
Jefferson,West Carthage,2020,8,electricity,CCA-Ineligible Customer Count (R),count,142.0,142.0
Jefferson,West Carthage,2020,7,natural_gas,Total Consumption (T),Therms,-999.0,645.0
Jefferson,West Carthage,2020,7,natural_gas,Business Consumption (SC+O),Therms,-999.0,57.0
Jefferson,West Carthage,2020,7,natural_gas,Small Commercial Consumption (SC),Therms,4374.0,56.0
Jefferson,West Carthage,2020,7,natural_gas,Small Consumer Consumption (R+SC),Therms,11299.0,644.0
Jefferson,West Carthage,2020,7,natural_gas,Residential Consumption (R),Therms,6925.0,588.0
Jefferson,West Carthage,2020,7,natural_gas,All Other Consumption (O),Therms,-999.0,1.0
Jefferson,West Carthage,2020,7,natural_gas,CCA-Ineligible Customer Count (SC),count,23.0,23.0
Jefferson,West Carthage,2020,7,natural_gas,CCA-Ineligible Customer Count (R),count,118.0,118.0
Jefferson,West Carthage,2020,7,electricity,Total Consumption (T),MWh,-999.0,925.0
Jefferson,West Carthage,2020,7,electricity,Business Consumption (SC+O),MWh,-999.0,83.0
Jefferson,West Carthage,2020,7,electricity,Small Commercial Consumption (SC),MWh,319.875,76.0
Jefferson,West Carthage,2020,7,electricity,Small Consumer Consumption (R+SC),MWh,932.699,918.0
Jefferson,West Carthage,2020,7,electricity,Residential Consumption (R),MWh,612.824,842.0
Jefferson,West Carthage,2020,7,electricity,All Other Consumption (O),MWh,-999.0,7.0
Jefferson,West Carthage,2020,7,electricity,ICAP Capacity Tag (T),MW,-999.0,925.0
Jefferson,West Carthage,2020,7,electricity,ICAP Capacity Tag (SC+O),MW,-999.0,83.0
Jefferson,West Carthage,2020,7,electricity,ICAP Capacity Tag (R+SC),MW,0.633,76.0
Jefferson,West Carthage,2020,7,electricity,ICAP Capacity Tag (O),MW,1.885,918.0
Jefferson,West Carthage,2020,7,electricity,ICAP Capacity Tag (SC),MW,1.252,842.0
Jefferson,West Carthage,2020,7,electricity,ICAP Capacity Tag (R),MW,-999.0,7.0
Jefferson,West Carthage,2020,7,electricity,CCA-Ineligible Customer Count (SC),count,38.0,38.0
Jefferson,West Carthage,2020,7,electricity,CCA-Ineligible Customer Count (R),count,142.0,142.0
Jefferson,West Carthage,2020,6,electricity,CCA-Ineligible Customer Count (SC),count,38.0,38.0
Jefferson,West Carthage,2020,6,electricity,CCA-Ineligible Customer Count (R),count,146.0,146.0
Jefferson,West Carthage,2020,6,electricity,ICAP Capacity Tag (T),MW,-999.0,925.0
Jefferson,West Carthage,2020,6,electricity,ICAP Capacity Tag (SC+O),MW,-999.0,84.0
Jefferson,West Carthage,2020,6,electricity,ICAP Capacity Tag (R+SC),MW,1.886,918.0
Jefferson,West Carthage,2020,6,electricity,ICAP Capacity Tag (O),MW,-999.0,7.0
Jefferson,West Carthage,2020,6,electricity,ICAP Capacity Tag (SC),MW,0.633,77.0
Jefferson,West Carthage,2020,6,electricity,ICAP Capacity Tag (R),MW,1.252,841.0
Jefferson,West Carthage,2020,6,electricity,Total Consumption (T),MWh,-999.0,925.0
Jefferson,West Carthage,2020,6,electricity,Business Consumption (SC+O),MWh,-999.0,84.0
Jefferson,West Carthage,2020,6,electricity,Small Consumer Consumption (R+SC),MWh,741.815,918.0
Jefferson,West Carthage,2020,6,electricity,All Other Consumption (O),MWh,-999.0,7.0
Jefferson,West Carthage,2020,6,electricity,Small Commercial Consumption (SC),MWh,274.332,77.0
Jefferson,West Carthage,2020,6,electricity,Residential Consumption (R),MWh,467.483,841.0
Jefferson,West Carthage,2020,6,natural_gas,CCA-Ineligible Customer Count (SC),count,23.0,23.0
Jefferson,West Carthage,2020,6,natural_gas,CCA-Ineligible Customer Count (R),count,124.0,124.0
Jefferson,West Carthage,2020,6,natural_gas,Total Consumption (T),Therms,-999.0,644.0
Jefferson,West Carthage,2020,6,natural_gas,Business Consumption (SC+O),Therms,-999.0,57.0
Jefferson,West Carthage,2020,6,natural_gas,Small Consumer Consumption (R+SC),Therms,14990.0,643.0
Jefferson,West Carthage,2020,6,natural_gas,All Other Consumption (O),Therms,-999.0,1.0
Jefferson,West Carthage,2020,6,natural_gas,Small Commercial Consumption (SC),Therms,5116.0,56.0
Jefferson,West Carthage,2020,6,natural_gas,Residential Consumption (R),Therms,9874.0,587.0
Jefferson,West Carthage,2020,5,electricity,CCA-Ineligible Customer Count (SC),count,38.0,38.0
Jefferson,West Carthage,2020,5,electricity,CCA-Ineligible Customer Count (R),count,150.0,150.0
Jefferson,West Carthage,2020,5,electricity,ICAP Capacity Tag (T),MW,-999.0,926.0
Jefferson,West Carthage,2020,5,electricity,ICAP Capacity Tag (SC+O),MW,-999.0,84.0
Jefferson,West Carthage,2020,5,electricity,ICAP Capacity Tag (R+SC),MW,1.887,919.0
Jefferson,West Carthage,2020,5,electricity,ICAP Capacity Tag (O),MW,-999.0,7.0
Jefferson,West Carthage,2020,5,electricity,ICAP Capacity Tag (SC),MW,0.633,77.0
Jefferson,West Carthage,2020,5,electricity,ICAP Capacity Tag (R),MW,1.253,842.0
Jefferson,West Carthage,2020,5,electricity,Total Consumption (T),MWh,-999.0,926.0
Jefferson,West Carthage,2020,5,electricity,Business Consumption (SC+O),MWh,-999.0,84.0
Jefferson,West Carthage,2020,5,electricity,Small Consumer Consumption (R+SC),MWh,622.162,919.0
Jefferson,West Carthage,2020,5,electricity,All Other Consumption (O),MWh,-999.0,7.0
Jefferson,West Carthage,2020,5,electricity,Small Commercial Consumption (SC),MWh,234.475,77.0
Jefferson,West Carthage,2020,5,electricity,Residential Consumption (R),MWh,387.687,842.0
Jefferson,West Carthage,2020,5,natural_gas,CCA-Ineligible Customer Count (SC),count,23.0,23.0
Jefferson,West Carthage,2020,5,natural_gas,CCA-Ineligible Customer Count (R),count,126.0,126.0
Jefferson,West Carthage,2020,5,natural_gas,Total Consumption (T),Therms,-999.0,645.0
Jefferson,West Carthage,2020,5,natural_gas,Business Consumption (SC+O),Therms,-999.0,57.0
Jefferson,West Carthage,2020,5,natural_gas,Small Consumer Consumption (R+SC),Therms,39151.0,644.0
Jefferson,West Carthage,2020,5,natural_gas,All Other Consumption (O),Therms,-999.0,1.0
Jefferson,West Carthage,2020,5,natural_gas,Small Commercial Consumption (SC),Therms,10572.0,56.0
Jefferson,West Carthage,2020,5,natural_gas,Residential Consumption (R),Therms,28579.0,588.0
Jefferson,West Carthage,2020,4,electricity,CCA-Ineligible Customer Count (SC),count,38.0,38.0
Jefferson,West Carthage,2020,4,electricity,CCA-Ineligible Customer Count (R),count,152.0,152.0
Jefferson,West Carthage,2020,4,electricity,ICAP Capacity Tag (T),MW,-999.0,901.0
Jefferson,West Carthage,2020,4,electricity,ICAP Capacity Tag (SC+O),MW,-999.0,84.0
Jefferson,West Carthage,2020,4,electricity,ICAP Capacity Tag (R+SC),MW,1.72,894.0
Jefferson,West Carthage,2020,4,electricity,ICAP Capacity Tag (O),MW,-999.0,7.0
Jefferson,West Carthage,2020,4,electricity,ICAP Capacity Tag (SC),MW,0.694,77.0
Jefferson,West Carthage,2020,4,electricity,ICAP Capacity Tag (R),MW,1.025,817.0
Jefferson,West Carthage,2020,4,electricity,Total Consumption (T),MWh,-999.0,901.0
Jefferson,West Carthage,2020,4,electricity,Business Consumption (SC+O),MWh,-999.0,84.0
Jefferson,West Carthage,2020,4,electricity,Small Consumer Consumption (R+SC),MWh,763.399,894.0
Jefferson,West Carthage,2020,4,electricity,All Other Consumption (O),MWh,-999.0,7.0
Jefferson,West Carthage,2020,4,electricity,Small Commercial Consumption (SC),MWh,255.699,77.0
Jefferson,West Carthage,2020,4,electricity,Residential Consumption (R),MWh,507.7,817.0
Jefferson,West Carthage,2020,4,natural_gas,CCA-Ineligible Customer Count (SC),count,23.0,23.0
Jefferson,West Carthage,2020,4,natural_gas,CCA-Ineligible Customer Count (R),count,127.0,127.0
Jefferson,West Carthage,2020,4,natural_gas,Total Consumption (T),Therms,-999.0,644.0
Jefferson,West Carthage,2020,4,natural_gas,Business Consumption (SC+O),Therms,-999.0,57.0
Jefferson,West Carthage,2020,4,natural_gas,Small Consumer Consumption (R+SC),Therms,76729.0,643.0
Jefferson,West Carthage,2020,4,natural_gas,All Other Consumption (O),Therms,-999.0,1.0
