county_name,com_name,year,month,data_class,data_field_display_name,unit,value,number_of_accounts
Tioga,Spencer,2020,10,natural_gas,CCA-Ineligible Customer Count (SC),count,0.0,0.0
Tioga,Spencer,2020,10,natural_gas,CCA-Ineligible Customer Count (R),count,1.0,1.0
Tioga,Spencer,2020,10,natural_gas,Total Consumption (T),Therms,10806.3,263.0
Tioga,Spencer,2020,10,natural_gas,Business Consumption (SC+O),Therms,4594.5,51.0
Tioga,Spencer,2020,10,natural_gas,Small Consumer Consumption (R+SC),Therms,-999.0,239.0
Tioga,Spencer,2020,10,natural_gas,All Other Consumption (O),Therms,-999.0,24.0
Tioga,Spencer,2020,10,natural_gas,Small Commercial Consumption (SC),Therms,-999.0,27.0
Tioga,Spencer,2020,10,natural_gas,Residential Consumption (R),Therms,6211.8,212.0
Tioga,Spencer,2020,10,electricity,CCA-Ineligible Customer Count (SC),count,27.0,27.0
Tioga,Spencer,2020,10,electricity,CCA-Ineligible Customer Count (R),count,151.0,151.0
Tioga,Spencer,2020,10,electricity,ICAP Capacity Tag (T),MW,390.2,0.0
Tioga,Spencer,2020,10,electricity,ICAP Capacity Tag (SC+O),MW,18.2,0.0
Tioga,Spencer,2020,10,electricity,ICAP Capacity Tag (R+SC),MW,390.2,0.0
Tioga,Spencer,2020,10,electricity,ICAP Capacity Tag (O),MW,0.0,0.0
Tioga,Spencer,2020,10,electricity,ICAP Capacity Tag (SC),MW,18.2,0.0
Tioga,Spencer,2020,10,electricity,ICAP Capacity Tag (R),MW,372.0,0.0
Tioga,Spencer,2020,10,electricity,Total Consumption (T),MWh,707.041,569.0
Tioga,Spencer,2020,10,electricity,Business Consumption (SC+O),MWh,472.093,225.0
Tioga,Spencer,2020,10,electricity,Small Consumer Consumption (R+SC),MWh,244.765,391.0
Tioga,Spencer,2020,10,electricity,All Other Consumption (O),MWh,462.276,178.0
Tioga,Spencer,2020,10,electricity,Small Commercial Consumption (SC),MWh,9.817,47.0
Tioga,Spencer,2020,10,electricity,Residential Consumption (R),MWh,234.948,344.0
Tioga,Spencer,2020,9,natural_gas,CCA-Ineligible Customer Count (SC),count,0.0,0.0
Tioga,Spencer,2020,9,natural_gas,CCA-Ineligible Customer Count (R),count,1.0,1.0
Tioga,Spencer,2020,9,natural_gas,Total Consumption (T),Therms,5804.8,250.0
Tioga,Spencer,2020,9,natural_gas,Business Consumption (SC+O),Therms,2948.4,51.0
Tioga,Spencer,2020,9,natural_gas,Small Consumer Consumption (R+SC),Therms,-999.0,226.0
Tioga,Spencer,2020,9,natural_gas,All Other Consumption (O),Therms,-999.0,24.0
Tioga,Spencer,2020,9,natural_gas,Small Commercial Consumption (SC),Therms,-999.0,27.0
Tioga,Spencer,2020,9,natural_gas,Residential Consumption (R),Therms,2856.4,199.0
Tioga,Spencer,2020,9,electricity,CCA-Ineligible Customer Count (SC),count,25.0,25.0
