county_name,com_name,year,month,data_class,data_field_display_name,unit,value,number_of_accounts
Tompkins,Trumansburg,2020,10,natural_gas,CCA-Ineligible Customer Count (SC),count,0.0,0.0
Tompkins,Trumansburg,2020,10,natural_gas,CCA-Ineligible Customer Count (R),count,1.0,1.0
Tompkins,Trumansburg,2020,10,natural_gas,Total Consumption (T),Therms,55189.1,678.0
Tompkins,Trumansburg,2020,10,natural_gas,Business Consumption (SC+O),Therms,-999.0,157.0
Tompkins,Trumansburg,2020,10,natural_gas,Small Consumer Consumption (R+SC),Therms,-999.0,573.0
Tompkins,Trumansburg,2020,10,natural_gas,All Other Consumption (O),Therms,-999.0,105.0
Tompkins,Trumansburg,2020,10,natural_gas,Small Commercial Consumption (SC),Therms,5460.5,52.0
Tompkins,Trumansburg,2020,10,natural_gas,Residential Consumption (R),Therms,-999.0,521.0
Tompkins,Trumansburg,2020,10,electricity,CCA-Ineligible Customer Count (SC),count,24.0,24.0
Tompkins,Trumansburg,2020,10,electricity,CCA-Ineligible Customer Count (R),count,171.0,171.0
Tompkins,Trumansburg,2020,10,electricity,ICAP Capacity Tag (T),MW,1060.8,0.0
Tompkins,Trumansburg,2020,10,electricity,ICAP Capacity Tag (SC+O),MW,60.9,0.0
Tompkins,Trumansburg,2020,10,electricity,ICAP Capacity Tag (R+SC),MW,1060.8,0.0
Tompkins,Trumansburg,2020,10,electricity,ICAP Capacity Tag (O),MW,0.0,0.0
Tompkins,Trumansburg,2020,10,electricity,ICAP Capacity Tag (SC),MW,60.9,0.0
Tompkins,Trumansburg,2020,10,electricity,ICAP Capacity Tag (R),MW,1000.0,0.0
Tompkins,Trumansburg,2020,10,electricity,Total Consumption (T),MWh,886.74,1086.0
Tompkins,Trumansburg,2020,10,electricity,Business Consumption (SC+O),MWh,416.966,296.0
Tompkins,Trumansburg,2020,10,electricity,Small Consumer Consumption (R+SC),MWh,502.245,863.0
Tompkins,Trumansburg,2020,10,electricity,All Other Consumption (O),MWh,384.495,223.0
Tompkins,Trumansburg,2020,10,electricity,Small Commercial Consumption (SC),MWh,32.471,73.0
Tompkins,Trumansburg,2020,10,electricity,Residential Consumption (R),MWh,469.774,790.0
Tompkins,Trumansburg,2020,9,natural_gas,CCA-Ineligible Customer Count (SC),count,0.0,0.0
Tompkins,Trumansburg,2020,9,natural_gas,CCA-Ineligible Customer Count (R),count,0.0,0.0
Tompkins,Trumansburg,2020,9,natural_gas,Total Consumption (T),Therms,19099.7,617.0
Tompkins,Trumansburg,2020,9,natural_gas,Business Consumption (SC+O),Therms,-999.0,106.0
Tompkins,Trumansburg,2020,9,natural_gas,Small Consumer Consumption (R+SC),Therms,-999.0,562.0
Tompkins,Trumansburg,2020,9,natural_gas,All Other Consumption (O),Therms,-999.0,55.0
Tompkins,Trumansburg,2020,9,natural_gas,Small Commercial Consumption (SC),Therms,2030.2,51.0
Tompkins,Trumansburg,2020,9,natural_gas,Residential Consumption (R),Therms,-999.0,511.0
Tompkins,Trumansburg,2020,9,electricity,CCA-Ineligible Customer Count (SC),count,12.0,12.0
Tompkins,Trumansburg,2020,9,electricity,CCA-Ineligible Customer Count (R),count,93.0,93.0
Tompkins,Trumansburg,2020,9,electricity,ICAP Capacity Tag (T),MW,1294.6,0.0
Tompkins,Trumansburg,2020,9,electricity,ICAP Capacity Tag (SC+O),MW,80.6,0.0
Tompkins,Trumansburg,2020,9,electricity,ICAP Capacity Tag (R+SC),MW,1294.6,0.0
Tompkins,Trumansburg,2020,9,electricity,ICAP Capacity Tag (O),MW,0.0,0.0
Tompkins,Trumansburg,2020,9,electricity,ICAP Capacity Tag (SC),MW,80.6,0.0
Tompkins,Trumansburg,2020,9,electricity,ICAP Capacity Tag (R),MW,1214.0,0.0
Tompkins,Trumansburg,2020,9,electricity,Total Consumption (T),MWh,664.322,876.0
Tompkins,Trumansburg,2020,9,electricity,Business Consumption (SC+O),MWh,290.174,165.0
Tompkins,Trumansburg,2020,9,electricity,Small Consumer Consumption (R+SC),MWh,404.494,770.0
Tompkins,Trumansburg,2020,9,electricity,All Other Consumption (O),MWh,259.828,106.0
Tompkins,Trumansburg,2020,9,electricity,Small Commercial Consumption (SC),MWh,30.346,59.0
Tompkins,Trumansburg,2020,9,electricity,Residential Consumption (R),MWh,374.148,711.0
Tompkins,Trumansburg,2020,8,natural_gas,CCA-Ineligible Customer Count (SC),count,0.0,0.0
Tompkins,Trumansburg,2020,8,natural_gas,CCA-Ineligible Customer Count (R),count,1.0,1.0
Tompkins,Trumansburg,2020,8,natural_gas,Total Consumption (T),Therms,14114.6,595.0
Tompkins,Trumansburg,2020,8,natural_gas,Business Consumption (SC+O),Therms,4004.5,119.0
Tompkins,Trumansburg,2020,8,natural_gas,Small Consumer Consumption (R+SC),Therms,11252.6,512.0
Tompkins,Trumansburg,2020,8,natural_gas,All Other Consumption (O),Therms,2862.0,83.0
Tompkins,Trumansburg,2020,8,natural_gas,Small Commercial Consumption (SC),Therms,1142.5,36.0
Tompkins,Trumansburg,2020,8,natural_gas,Residential Consumption (R),Therms,10110.1,476.0
Tompkins,Trumansburg,2020,8,electricity,CCA-Ineligible Customer Count (SC),count,24.0,24.0
Tompkins,Trumansburg,2020,8,electricity,CCA-Ineligible Customer Count (R),count,144.0,144.0
Tompkins,Trumansburg,2020,8,electricity,ICAP Capacity Tag (T),MW,971.4,0.0
Tompkins,Trumansburg,2020,8,electricity,ICAP Capacity Tag (SC+O),MW,45.7,0.0
Tompkins,Trumansburg,2020,8,electricity,ICAP Capacity Tag (R+SC),MW,971.4,0.0
Tompkins,Trumansburg,2020,8,electricity,ICAP Capacity Tag (O),MW,0.0,0.0
Tompkins,Trumansburg,2020,8,electricity,ICAP Capacity Tag (SC),MW,45.7,0.0
Tompkins,Trumansburg,2020,8,electricity,ICAP Capacity Tag (R),MW,925.6,0.0
Tompkins,Trumansburg,2020,8,electricity,Total Consumption (T),MWh,808.315,973.0
Tompkins,Trumansburg,2020,8,electricity,Business Consumption (SC+O),MWh,331.315,253.0
Tompkins,Trumansburg,2020,8,electricity,Small Consumer Consumption (R+SC),MWh,498.995,785.0
Tompkins,Trumansburg,2020,8,electricity,All Other Consumption (O),MWh,309.32,188.0
Tompkins,Trumansburg,2020,8,electricity,Small Commercial Consumption (SC),MWh,21.995,65.0
Tompkins,Trumansburg,2020,8,electricity,Residential Consumption (R),MWh,477.0,720.0
Tompkins,Trumansburg,2020,7,natural_gas,CCA-Ineligible Customer Count (SC),count,0.0,0.0
Tompkins,Trumansburg,2020,7,natural_gas,CCA-Ineligible Customer Count (R),count,0.0,0.0
Tompkins,Trumansburg,2020,7,natural_gas,Total Consumption (T),Therms,19505.5,668.0
Tompkins,Trumansburg,2020,7,natural_gas,Business Consumption (SC+O),Therms,8461.7,145.0
Tompkins,Trumansburg,2020,7,natural_gas,Small Consumer Consumption (R+SC),Therms,15422.2,574.0
Tompkins,Trumansburg,2020,7,natural_gas,All Other Consumption (O),Therms,4083.3,94.0
Tompkins,Trumansburg,2020,7,natural_gas,Small Commercial Consumption (SC),Therms,4378.4,51.0
Tompkins,Trumansburg,2020,7,natural_gas,Residential Consumption (R),Therms,11043.8,523.0
Tompkins,Trumansburg,2020,7,electricity,CCA-Ineligible Customer Count (SC),count,22.0,22.0
Tompkins,Trumansburg,2020,7,electricity,CCA-Ineligible Customer Count (R),count,157.0,157.0
Tompkins,Trumansburg,2020,7,electricity,ICAP Capacity Tag (T),MW,939.8,0.0
Tompkins,Trumansburg,2020,7,electricity,ICAP Capacity Tag (SC+O),MW,52.8,0.0
Tompkins,Trumansburg,2020,7,electricity,ICAP Capacity Tag (R+SC),MW,939.8,0.0
