county_name,com_name,year,month,data_class,data_field_display_name,unit,value,number_of_accounts
Ulster,Saugerties,2020,10,electricity,CCA-Ineligible Customer Count (SC),count,62.0,62.0
Ulster,Saugerties,2020,10,electricity,CCA-Ineligible Customer Count (R),count,272.0,272.0
Ulster,Saugerties,2020,10,electricity,ICAP Capacity Tag (T),MW,3.6,0.0
Ulster,Saugerties,2020,10,electricity,ICAP Capacity Tag (SC+O),MW,1.87,0.0
Ulster,Saugerties,2020,10,electricity,ICAP Capacity Tag (R+SC),MW,1.92,0.0
Ulster,Saugerties,2020,10,electricity,ICAP Capacity Tag (O),MW,1.68,0.0
Ulster,Saugerties,2020,10,electricity,ICAP Capacity Tag (SC),MW,0.18,0.0
Ulster,Saugerties,2020,10,electricity,ICAP Capacity Tag (R),MW,1.73,0.0
Ulster,Saugerties,2020,10,electricity,Total Consumption (T),MWh,1582.36,1930.0
Ulster,Saugerties,2020,10,electricity,Business Consumption (SC+O),MWh,633.05,347.0
Ulster,Saugerties,2020,10,electricity,Small Consumer Consumption (R+SC),MWh,1064.52,1806.0
Ulster,Saugerties,2020,10,electricity,All Other Consumption (O),MWh,517.84,124.0
Ulster,Saugerties,2020,10,electricity,Small Commercial Consumption (SC),MWh,115.21,223.0
Ulster,Saugerties,2020,10,electricity,Residential Consumption (R),MWh,949.31,1583.0
Ulster,Saugerties,2020,10,natural_gas,CCA-Ineligible Customer Count (SC),count,41.0,41.0
Ulster,Saugerties,2020,10,natural_gas,CCA-Ineligible Customer Count (R),count,131.0,131.0
Ulster,Saugerties,2020,10,natural_gas,Total Consumption (T),Therms,45027.0,1226.0
Ulster,Saugerties,2020,10,natural_gas,Business Consumption (SC+O),Therms,17971.0,178.0
Ulster,Saugerties,2020,10,natural_gas,Small Consumer Consumption (R+SC),Therms,45027.0,1226.0
Ulster,Saugerties,2020,10,natural_gas,All Other Consumption (O),Therms,0.0,0.0
Ulster,Saugerties,2020,10,natural_gas,Small Commercial Consumption (SC),Therms,17971.0,178.0
Ulster,Saugerties,2020,10,natural_gas,Residential Consumption (R),Therms,27056.0,1048.0
Ulster,Saugerties,2020,9,electricity,CCA-Ineligible Customer Count (SC),count,63.0,63.0
Ulster,Saugerties,2020,9,electricity,CCA-Ineligible Customer Count (R),count,270.0,270.0
Ulster,Saugerties,2020,9,electricity,ICAP Capacity Tag (T),MW,3.66,0.0
Ulster,Saugerties,2020,9,electricity,ICAP Capacity Tag (SC+O),MW,1.9,0.0
Ulster,Saugerties,2020,9,electricity,ICAP Capacity Tag (R+SC),MW,1.94,0.0
Ulster,Saugerties,2020,9,electricity,ICAP Capacity Tag (O),MW,1.72,0.0
Ulster,Saugerties,2020,9,electricity,ICAP Capacity Tag (SC),MW,0.18,0.0
Ulster,Saugerties,2020,9,electricity,ICAP Capacity Tag (R),MW,1.76,0.0
Ulster,Saugerties,2020,9,electricity,Total Consumption (T),MWh,2064.4,1956.0
Ulster,Saugerties,2020,9,electricity,Business Consumption (SC+O),MWh,1047.35,360.0
Ulster,Saugerties,2020,9,electricity,Small Consumer Consumption (R+SC),MWh,1144.39,1822.0
Ulster,Saugerties,2020,9,electricity,All Other Consumption (O),MWh,920.0,134.0
Ulster,Saugerties,2020,9,electricity,Small Commercial Consumption (SC),MWh,127.34,226.0
Ulster,Saugerties,2020,9,electricity,Residential Consumption (R),MWh,1017.04,1596.0
Ulster,Saugerties,2020,9,natural_gas,CCA-Ineligible Customer Count (SC),count,44.0,44.0
Ulster,Saugerties,2020,9,natural_gas,CCA-Ineligible Customer Count (R),count,128.0,128.0
Ulster,Saugerties,2020,9,natural_gas,Total Consumption (T),Therms,-999.0,1218.0
Ulster,Saugerties,2020,9,natural_gas,Business Consumption (SC+O),Therms,14855.0,175.0
Ulster,Saugerties,2020,9,natural_gas,Small Consumer Consumption (R+SC),Therms,-999.0,1218.0
Ulster,Saugerties,2020,9,natural_gas,All Other Consumption (O),Therms,0.0,0.0
Ulster,Saugerties,2020,9,natural_gas,Small Commercial Consumption (SC),Therms,14855.0,175.0
Ulster,Saugerties,2020,9,natural_gas,Residential Consumption (R),Therms,-999.0,1043.0
Ulster,Saugerties,2020,8,electricity,CCA-Ineligible Customer Count (SC),count,61.0,61.0
Ulster,Saugerties,2020,8,electricity,CCA-Ineligible Customer Count (R),count,274.0,274.0
Ulster,Saugerties,2020,8,electricity,ICAP Capacity Tag (T),MW,3.56,0.0
Ulster,Saugerties,2020,8,electricity,ICAP Capacity Tag (SC+O),MW,1.78,0.0
Ulster,Saugerties,2020,8,electricity,ICAP Capacity Tag (R+SC),MW,1.96,0.0
Ulster,Saugerties,2020,8,electricity,ICAP Capacity Tag (O),MW,1.6,0.0
Ulster,Saugerties,2020,8,electricity,ICAP Capacity Tag (SC),MW,0.18,0.0
Ulster,Saugerties,2020,8,electricity,ICAP Capacity Tag (R),MW,1.78,0.0
Ulster,Saugerties,2020,8,electricity,Total Consumption (T),MWh,1697.98,1921.0
Ulster,Saugerties,2020,8,electricity,Business Consumption (SC+O),MWh,669.47,339.0
